Sale_ID,Date,Country,City,Store_ID,Sales_Channel,Brand,Model,Supplier,Storage_GB,Color,Price_USD,COGS_USD,Units_Sold,Discount_pct,Revenue_USD,Cost_Total_USD,Profit_USD,Profit_Margin,Inventory_Level,Promotion,Payment_Method,Warranty_Type,Customer_Rating,Returned,Salesperson_ID
200000,03-05-25,Poland,Warsaw,STORE_2,Online,Xiaomi,Redmi Note 12,Xiaomi Global Supply,64,Red,384.72,256.44,2,0,769.44,512.88,256.56,0.333,16,None,Google Pay,Standard 12M,4.2,0,EMP_128
200001,13-10-25,Ukraine,Lviv,STORE_3,Store,OnePlus,OnePlus 10,OnePlus Distribution,64,Silver,341.92,246.76,3,0.1,923.18,740.28,182.9,0.198,23,Holiday Sale,PayPal,Standard 12M,4.4,0,EMP_170
200002,02-04-25,Ukraine,Kyiv,STORE_4,Store,Apple,iPhone 13,Apple Distribution Ltd,512,White,778.55,549.22,4,0.15,2647.07,2196.88,450.19,0.17,63,Black Friday,Google Pay,Extended 24M,4.1,0,EMP_143
200003,12-10-25,Ukraine,Kyiv,STORE_10,Online,Google,Pixel 8,Google Devices Supply,64,Red,676.31,474.38,2,0.1,1217.36,948.76,268.6,0.221,58,Black Friday,PayPal,Extended 24M,3.7,0,EMP_158
200004,12-01-25,Germany,Munich,STORE_8,Online,Apple,iPhone 13,Apple Distribution Ltd,64,Black,958.04,586.25,4,0.05,3640.55,2345,1295.55,0.356,54,Holiday Sale,Google Pay,Standard 12M,4.8,0,EMP_163
200005,11-03-25,Germany,Berlin,STORE_7,Online,Apple,iPhone 14,Apple Distribution Ltd,128,Green,651.85,472.12,1,0,651.85,472.12,179.73,0.276,62,Back to School,PayPal,Extended 24M,4.2,0,EMP_129
200006,30-09-25,UK,London,STORE_6,Online,Samsung,Galaxy S21,Samsung Electronics Distribution,128,White,510,329.97,2,0.05,969,659.94,309.06,0.319,41,Holiday Sale,Google Pay,Standard 12M,3.6,1,EMP_158
200007,23-06-25,Poland,Krakow,STORE_10,Store,OnePlus,OnePlus 11,OnePlus Distribution,512,Black,733.37,462.09,2,0,1466.74,924.18,542.56,0.37,31,None,Credit Card,Standard 12M,4.2,0,EMP_168
200008,06-09-25,Ukraine,Kyiv,STORE_8,Online,Apple,iPhone 15,Apple Distribution Ltd,64,Silver,852.66,494.3,3,0.05,2430.08,1482.9,947.18,0.39,51,Back to School,PayPal,Standard 12M,4.3,0,EMP_118
200009,25-11-25,Germany,Munich,STORE_2,Online,Apple,iPhone 15,Apple Distribution Ltd,128,Red,320.79,237.45,3,0,962.37,712.35,250.02,0.26,74,Black Friday,Cash,Extended 24M,4.9,0,EMP_128
